Points_0,Points_1,Points_2,Temperature
0.0160953,0.0105,0.025,52.5419
0.0162933,0.0105,0.025,52.5043
0.0164912,0.0105,0.025,52.487
0.0166891,0.0105,0.025,52.4513
0.016887,0.0105,0.025,52.4286
0.017085,0.0105,0.025,52.4084
0.0172829,0.0105,0.025,52.3746
0.0174808,0.0105,0.025,52.3478
0.0176787,0.0105,0.025,52.3287
0.0178767,0.0105,0.025,52.3036
0.0180746,0.0105,0.025,52.2671
0.0182725,0.0105,0.025,52.2365
0.0184704,0.0105,0.025,52.2046
0.0186684,0.0105,0.025,52.1756
0.0188663,0.0105,0.025,52.1478
0.0190642,0.0105,0.025,52.118
0.0192622,0.0105,0.025,52.081
0.0194601,0.0105,0.025,52.0575
0.019658,0.0105,0.025,52.0272
0.0198559,0.0105,0.025,51.9808
0.0200539,0.0105,0.025,51.9553
0.0202518,0.0105,0.025,51.922
0.0204497,0.0105,0.025,51.8854
0.0206476,0.0105,0.025,51.8521
0.0208456,0.0105,0.025,51.8156
0.0210435,0.0105,0.025,51.7862
0.0212414,0.0105,0.025,51.7551
0.0214393,0.0105,0.025,51.7162
0.0216373,0.0105,0.025,51.6836
0.0218352,0.0105,0.025,51.6517
0.0220331,0.0105,0.025,51.6177
0.022231,0.0105,0.025,51.5882
0.022429,0.0105,0.025,51.5541
0.0226269,0.0105,0.025,51.5232
0.0228248,0.0105,0.025,51.4792
0.0230228,0.0105,0.025,51.4391
0.0232207,0.0105,0.025,51.4238
0.0234186,0.0105,0.025,51.3736
0.0236165,0.0105,0.025,51.3492
0.0238145,0.0105,0.025,51.3047
0.0240124,0.0105,0.025,51.2718
0.0242103,0.0105,0.025,51.2368
0.0244082,0.0105,0.025,51.1994
0.0246062,0.0105,0.025,51.1661
0.0248041,0.0105,0.025,51.1216
0.025002,0.0105,0.025,51.0849
0.0251999,0.0105,0.025,51.04
0.0253979,0.0105,0.025,50.9979
0.0255958,0.0105,0.025,50.9521
0.0257937,0.0105,0.025,50.9043
0.0259916,0.0105,0.025,50.8589
0.0261896,0.0105,0.025,50.8077
0.0263875,0.0105,0.025,50.7473
0.0265854,0.0105,0.025,50.6838
0.0267834,0.0105,0.025,50.6117
0.0269813,0.0105,0.025,50.5405
0.0271792,0.0105,0.025,50.4719
0.0273771,0.0105,0.025,50.3895
0.0275751,0.0105,0.025,50.2972
0.027773,0.0105,0.025,50.1951
0.0279709,0.0105,0.025,50.0888
0.0281688,0.0105,0.025,49.9786
0.0283668,0.0105,0.025,49.8563
0.0285647,0.0105,0.025,49.7349
0.0287626,0.0105,0.025,49.6067
0.0289605,0.0105,0.025,49.4799
0.0291585,0.0105,0.025,49.3632
0.0293566,0.0105,0.025,49.2528
0.000656953,0.0395,0.025,49.3274
0.000854999,0.0395,0.025,49.3831
0.00105293,0.0395,0.025,49.4441
0.00125085,0.0395,0.025,49.5066
0.00144878,0.0395,0.025,49.5761
0.0016467,0.0395,0.025,49.6409
0.00184463,0.0395,0.025,49.7051
0.00204256,0.0395,0.025,49.7715
0.00224048,0.0395,0.025,49.8346
0.00243841,0.0395,0.025,49.9052
0.00263634,0.0395,0.025,49.9657
0.00283426,0.0395,0.025,50.0217
0.00303219,0.0395,0.025,50.0741
0.00323012,0.0395,0.025,50.1244
0.00342804,0.0395,0.025,50.181
0.00362597,0.0395,0.025,50.2296
0.0038239,0.0395,0.025,50.2668
0.00402182,0.0395,0.025,50.3143
0.00421975,0.0395,0.025,50.3654
0.00441767,0.0395,0.025,50.4045
0.0046156,0.0395,0.025,50.4364
0.00481353,0.0395,0.025,50.4705
0.00501145,0.0395,0.025,50.5105
0.00520938,0.0395,0.025,50.5445
0.00540731,0.0395,0.025,50.5803
0.00560523,0.0395,0.025,50.6051
0.00580316,0.0395,0.025,50.6469
0.00600109,0.0395,0.025,50.6742
0.00619901,0.0395,0.025,50.6927
0.00639694,0.0395,0.025,50.7205
0.00659486,0.0395,0.025,50.7464
0.00679279,0.0395,0.025,50.7703
0.00699072,0.0395,0.025,50.7892
0.00718864,0.0395,0.025,50.8077
0.00738657,0.0395,0.025,50.8218
0.0075845,0.0395,0.025,50.844
0.00778242,0.0395,0.025,50.852
0.00798035,0.0395,0.025,50.8637
0.00817828,0.0395,0.025,50.8664
0.0083762,0.0395,0.025,50.8775
0.00857413,0.0395,0.025,50.8798
0.00877205,0.0395,0.025,50.88
0.00896998,0.0395,0.025,50.8858
0.00916791,0.0395,0.025,50.8738
0.00936583,0.0395,0.025,50.8706
0.00956376,0.0395,0.025,50.8624
0.00976169,0.0395,0.025,50.8437
0.00995961,0.0395,0.025,50.8313
0.0101575,0.0395,0.025,50.8222
0.0103555,0.0395,0.025,50.8009
0.0105534,0.0395,0.025,50.7709
0.0107513,0.0395,0.025,50.7467
0.0109492,0.0395,0.025,50.7239
0.0111472,0.0395,0.025,50.7033
0.0113451,0.0395,0.025,50.6642
0.011543,0.0395,0.025,50.6292
0.011741,0.0395,0.025,50.6044
0.0119389,0.0395,0.025,50.5692
0.0121368,0.0395,0.025,50.5253
0.0123347,0.0395,0.025,50.4839
0.0125327,0.0395,0.025,50.4466
0.0127306,0.0395,0.025,50.4072
0.0129285,0.0395,0.025,50.3649
0.0131264,0.0395,0.025,50.3121
0.0133244,0.0395,0.025,50.268
0.0135223,0.0395,0.025,50.2185
0.0137202,0.0395,0.025,50.1705
0.0139181,0.0395,0.025,50.1086
0.0141161,0.0395,0.025,50.0634
0.014314,0.0395,0.025,50.0077
0.0145119,0.0395,0.025,49.9424
0.0147098,0.0395,0.025,49.8929
0.0149078,0.0395,0.025,49.8381
0.0151057,0.0395,0.025,49.7846
0.0153036,0.0395,0.025,49.7188
0.0155016,0.0395,0.025,49.6505
0.0156995,0.0395,0.025,49.5958
0.0158974,0.0395,0.025,49.531
0.0160953,0.0395,0.025,49.4652
0.0162933,0.0395,0.025,49.4029
0.0164912,0.0395,0.025,49.3502
0.0166891,0.0395,0.025,49.2854
0.016887,0.0395,0.025,49.2177
0.017085,0.0395,0.025,49.1575
0.0172829,0.0395,0.025,49.0924
0.0174808,0.0395,0.025,49.0432
0.0176787,0.0395,0.025,48.9831
0.0178767,0.0395,0.025,48.9243
0.0180746,0.0395,0.025,48.86
0.0182725,0.0395,0.025,48.7955
0.0184704,0.0395,0.025,48.7336
0.0186684,0.0395,0.025,48.6767
0.0188663,0.0395,0.025,48.6149
0.0190642,0.0395,0.025,48.565
0.0192622,0.0395,0.025,48.5098
0.0194601,0.0395,0.025,48.4484
0.019658,0.0395,0.025,48.3886
0.0198559,0.0395,0.025,48.3366
0.0200539,0.0395,0.025,48.2764
0.0202518,0.0395,0.025,48.2327
0.0204497,0.0395,0.025,48.176
0.0206476,0.0395,0.025,48.1231
0.0208456,0.0395,0.025,48.0736
0.0210435,0.0395,0.025,48.02
0.0212414,0.0395,0.025,47.9714
0.0214393,0.0395,0.025,47.9246
0.0216373,0.0395,0.025,47.8743
0.0218352,0.0395,0.025,47.8213
0.0220331,0.0395,0.025,47.7717
0.022231,0.0395,0.025,47.7225
0.022429,0.0395,0.025,47.6809
0.0226269,0.0395,0.025,47.6338
